bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1387,0.001,0.06722689075630252,0.061284787310742606,0.061283345349675555,0.010617302365050376,1.4419610670501903e-06,0.010618744326117426
1,1996,0.07058823529411765,0.08695652173913042,0.08166332665330658,0.08166332665330661,0.010091418097815259,2.7755575615628914e-17,0.010091418097815287
2,981,0.08791208791208792,0.1048158640226629,0.09683995922528031,0.09683995922528033,0.015549320502266562,1.3877787807814457e-17,0.015549320502266576
3,936,0.10545454545454545,0.15355805243445692,0.12713675213675213,0.12713675213675213,0.01791652975574953,0.0,0.01791652975574953
4,928,0.15625,0.15625,0.15625,0.15625,0.019602120621543758,0.0,0.019602120621543758
5,1043,0.1595744680851064,0.24539877300613497,0.21284755512943432,0.21284755512943432,0.020833519058827684,0.0,0.020833519058827684
6,1349,0.2528548123980424,0.34106412005457026,0.3009636767976278,0.30096367679762787,0.020524611705531635,5.551115123125783e-17,0.02052461170553169
7,915,0.413265306122449,0.5222222222222223,0.4710382513661202,0.4710382513661202,0.027103036889653674,0.0,0.027103036889653674
8,810,0.5289256198347108,0.999,0.6937901234567901,0.6938271604938272,0.026600967549226216,3.703703703705763e-05,0.026638004586263274
