seed,npv,delta,threshold,labeled_approved,val_rate,test_rate,approved_total,prior_declined
101,2723690.8976072567,71475.7844604752,-0.0025000000000000022,1920,0.5682780129204723,0.5670863105364636,7551,1915
3,2707935.6479504798,55720.534803698305,0.0025000000000000022,1886,0.5638226776564936,0.5684473176817512,7543,1966
5,2696973.824818475,44758.711671693716,-0.0019630283400934936,1913,0.565827578525284,0.5689009867301803,7556,1917
23,2685217.366843514,33002.25369673269,-0.014175111429205974,2040,0.6041434617955002,0.6000907338096858,8003,2030
43,2680000.7945185076,27785.681371726096,0.0,1952,0.5803074181332145,0.5769536123397981,7692,1969
41,2675692.9560011174,23477.842854335904,-0.015,2050,0.6010247271107151,0.5951003742769649,7945,1968
137,2674169.9145416375,21954.80139485607,-0.003738409649281238,1913,0.5716195143684563,0.5751389361460815,7637,1997
11,2660290.633134322,8075.51998754032,0.002044681019453179,1887,0.5604811762085097,0.5632301236248157,7482,1929
7,2660172.309851465,7957.19670468336,0.0025000000000000022,1894,0.5678324793940744,0.5686741522059657,7563,1995
37,2653675.1677485066,1460.0546017251909,0.007500000000000007,1856,0.5569169079973268,0.5539299081320177,7384,1949
2443,2652615.7415215215,400.6283747400157,-0.007500000000000007,2016,0.5961238583203387,0.5897697629579222,7876,1987
1,2652266.570392357,51.45724557572976,-0.0012041662837790823,1938,0.5749610158164402,0.5767267778155836,7666,1957
29,2646837.140916113,-5377.972230668645,-0.0025000000000000022,1921,0.5727333481844509,0.5718498355449699,7613,1974
71,2632443.478013392,-19771.635133389384,-0.0012948502209945603,1938,0.5780797505012252,0.5750255188839741,7665,1989
53,2621658.151489393,-30556.9616573886,0.006527989426454792,1836,0.5444419692581867,0.5449699444255416,7249,1860
2026,2617555.198834961,-34659.91431182064,0.0050000000000000044,1861,0.5560258409445311,0.5584665986163094,7420,1919
17,2607380.568666109,-44834.54448067257,0.007500000000000007,1877,0.5685007796836712,0.5709424974481117,7586,2063
2,2598607.76039539,-53607.352751391474,-0.01457610291352145,2015,0.5905546892403654,0.5835318135420211,7796,1913
