threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total
0.0,2711813.9989971323,1918,0.569169079973268,0.5689009867301803,7571,1937
0.0003746835606662802,2699422.8111795746,1913,0.5680552461572733,0.5683339004196438,7561,1937
0.0035960075430115646,2694828.365799945,1887,0.5622633103141012,0.5625496200521719,7484,1937
0.0025000000000000022,2672638.2988305474,1898,0.5647137447092894,0.5639106271974594,7507,1937
0.0050000000000000044,2669912.8233963186,1872,0.5589218088661172,0.5597141884994896,7444,1937
0.007500000000000007,2662192.6596763697,1845,0.552907106259746,0.5539299081320177,7366,1937
0.008221505599134656,2656501.1593294274,1836,0.5509022053909557,0.5524554837246229,7344,1937
-0.0024391094054888323,2647071.054689219,1938,0.5736244152372466,0.573437677214472,7631,1937
0.006031219601219957,2645909.820202083,1862,0.5566941412341279,0.5573324259952365,7413,1937
-0.0025000000000000022,2638861.1150336536,1940,0.5740699487636445,0.5736645117386866,7635,1937
-0.012499999999999997,2618750.1235104287,2022,0.5923368233459568,0.5887490075989565,7850,1937
0.009999999999999995,2613129.892567071,1813,0.5457785698373803,0.5489395485992968,7290,1937
-0.007500000000000007,2610894.9510772526,1980,0.5829806192916017,0.5818305546104117,7747,1937
-0.011464231582376623,2608040.8515662034,2015,0.5907774560035642,0.5870477486673472,7828,1937
0.010293827314929107,2607148.9723933637,1811,0.5453330363109824,0.5488261313371895,7287,1937
-0.015,2594233.0056697046,2033,0.594787257741145,0.5913576046274243,7884,1937
-0.0175,2592232.76827834,2043,0.5970149253731343,0.5943064534422139,7920,1937
-0.00867067093156883,2590661.245339768,1989,0.5849855201603921,0.5835318135420211,7771,1937
-0.009999999999999995,2585690.0435848623,2003,0.5881042548451771,0.5850062379494159,7798,1937
-0.01704249417541894,2584415.7690122444,2040,0.5963466250835375,0.5937393671316774,7912,1937
0.012892269806748551,2580667.0415553763,1785,0.5395411004678102,0.5425881819212884,7206,1937
-0.0050000000000000044,2577762.2272614553,1959,0.5783025172644242,0.5783146194850857,7695,1937
-0.005575834989927718,2574966.0039964467,1964,0.5794163510804188,0.5793353748440513,7709,1937
0.012499999999999997,2574843.9524124386,1792,0.5411004678102027,0.5433821027560395,7220,1937
