policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
blend_decomp_direct_hgb_0.7,0.0049999999999999906,2047,0.8024304194433556,3834516.5002022013,1873.2371764544218,0.08158280410356619,0.9631517052136417
blend_decomp_direct_hgb_0.6,0.0049999999999999906,2047,0.8024304194433556,3828486.1612552125,1870.2912365682523,0.0810942843185149,0.9678557428459428
blend_decomp_direct_hgb_0.5,0.0049999999999999906,2042,0.8004704037632301,3826843.1180455387,1874.0661694640248,0.07982370225269343,0.9729517836142689
blend_decomp_direct_hgb_0.4,0.0049999999999999906,2038,0.7989023912191298,3822647.0125238234,1875.6854821019742,0.07998037291462218,0.97765582124657
blend_decomp_direct_hgb_0.8,0.008436339478676497,2031,0.7961583692669542,3822247.72513259,1881.9535820446038,0.08025603151157065,0.960015680125441
blend_decomp_direct_hgb_0.2,0.0011379084642246886,2057,0.8063504508036065,3821878.3608123474,1857.9865633506793,0.08167233835683034,0.9835358682869463
blend_decomp_direct_hgb_0.6,0.0011379084642246886,2070,0.8114464915719326,3820205.23046798,1845.509773172937,0.08357487922705314,0.9651117208937672
blend_decomp_direct_hgb_0.9,0.009999999999999995,2032,0.7965503724029792,3817211.543960341,1878.548988169459,0.0797244094488189,0.955703645629165
blend_decomp_direct_hgb_0.9,0.008436339478676497,2042,0.8004704037632301,3816929.21376435,1869.211172264618,0.08178256611165524,0.9564876519012152
blend_decomp_direct_hgb_0.7,0.0011379084642246886,2072,0.8122304978439827,3816126.76935417,1841.7600238195803,0.0834942084942085,0.9611916895335163
blend_decomp_direct_hgb_0.6,0.009999999999999995,2017,0.790670325362603,3815357.214412211,1891.6000071453698,0.07833415964303421,0.9662877303018425
blend_decomp_direct_hgb_0.3,0.0011379084642246886,2056,0.8059584476675813,3815256.6132668797,1855.6695589819453,0.08122568093385214,0.9792238337906704
blend_decomp_direct_hgb_0.5,0.0011379084642246886,2065,0.8094864758918071,3815137.0709753353,1847.5240053149323,0.08329297820823245,0.968639749117993
