name,threshold,npv,approved_labeled,default_rate_approved,auroc,log_loss,brier,mean_pd,approved_total,headline_enpv,val_approval_rate,test_approval_rate
rar_alpha_0.15,0.004998218923158536,2688941.390251524,2003,0.13130304543185223,0.7378040651551424,0.44293858190773444,0.1389970031912461,0.216764695710573,8002,14704593.14278373,0.6041434617955002,0.5999773165475786
rev_0.00_rar_0.15,0.004998218923158536,2688941.390251524,2003,0.13130304543185223,0.7378040651551424,0.44293858190773444,0.13899700319124614,0.216764695710573,8002,14704593.14278373,0.6041434617955002,0.5999773165475786
rev_-0.05_rar_0.15,0.0073792375339252776,2683737.0264212014,1987,0.1303472571716155,0.7362545181429845,0.4434818341017874,0.13913827173567728,0.21647973641484422,7970,14691398.599225575,0.6001336600579193,0.5983894748780765
rev_-0.05_rar_0.20,0.0064504171731045706,2681399.8639659733,1984,0.1305443548387097,0.7353814016805145,0.44552308173343447,0.1398697098962183,0.21882088285070475,7955,14687875.708522797,0.5996881265315215,0.5969150504706816
rar_alpha_0.10,0.006279826384104543,2681049.7936825296,2001,0.13143428285857073,0.7387231845280008,0.44126020648394015,0.13839818417326755,0.2145081275931218,8014,14714338.780849185,0.604366228558699,0.6012249064307588
rev_0.00_rar_0.10,0.006279826384104543,2681049.7936825296,2001,0.13143428285857073,0.7387231845280008,0.44126020648394015,0.13839818417326755,0.2145081275931218,8014,14714338.780849185,0.604366228558699,0.6012249064307588
rev_0.05_rar_0.30,0.013059090169942892,2680169.396680194,1927,0.1276595744680851,0.7353682579918321,0.44997187206264083,0.14160887263447156,0.22435235359593042,7794,14682520.299716637,0.588327021608376,0.5844391516388794
rev_0.05_rar_0.25,0.012110578925155558,2677404.554667439,1939,0.12841670964414648,0.736385955029808,0.4471971199967911,0.14059359938822957,0.2218973493677105,7828,14683426.294812247,0.5912229895299621,0.5868209141431325
rar_alpha_0.20,0.010047168181283882,2676758.594755113,1965,0.1292620865139949,0.7368107778247195,0.44498476675365817,0.13973564567087451,0.21909993854462195,7904,14690257.180285065,0.5965693918467365,0.5927186117727118
rev_0.00_rar_0.20,0.010047168181283882,2676758.594755113,1965,0.1292620865139949,0.7368107778247195,0.44498476675365817,0.13973564567087454,0.21909993854462195,7904,14690257.180285065,0.5965693918467365,0.5927186117727118
rev_0.05_rar_0.10,0.007475737475844734,2675428.2167823166,1992,0.13052208835341367,0.7394474956578885,0.4410525275286327,0.13836126825095033,0.21493085634447595,7985,14723399.181976609,0.6034751615059033,0.5983894748780765
rar_alpha_0.25,0.016040105373247116,2672480.905344215,1923,0.12740509620384816,0.7356672769093555,0.44739594268397537,0.1406116005135282,0.22150487543180103,7774,14650723.603268422,0.5872131877923814,0.58273789270727
rev_0.00_rar_0.25,0.016040105373247116,2672480.905344215,1923,0.12740509620384816,0.7356672769093555,0.44739594268397537,0.1406116005135282,0.22150487543180103,7774,14650723.603268422,0.5872131877923814,0.58273789270727
rev_0.10_rar_0.30,0.012907335177058919,2669739.2214848544,1923,0.12740509620384816,0.735647091958879,0.4501106659369039,0.14170560165841886,0.22484723829100361,7784,14692876.017146945,0.5874359545555803,0.5837586480662357
rev_0.10_rar_0.25,0.013538349754992324,2669580.027861158,1929,0.12804561949196475,0.7366769938506315,0.4473363378081427,0.14068650256280502,0.22240718489264086,7796,14683286.395392321,0.5881042548451771,0.5847794034252013
rar_alpha_0.30,0.010555530453642773,2668672.1678088172,1938,0.12848297213622292,0.7346354973477914,0.45016871357668103,0.14162144619109254,0.22397067571329463,7840,14690949.67347271,0.5896636221875696,0.5889758421231711
rev_0.00_rar_0.30,0.01055553045364275,2668672.1678088172,1938,0.12848297213622292,0.7346354973477914,0.45016871357668103,0.14162144619109251,0.22397067571329463,7840,14690949.67347271,0.5896636221875696,0.5889758421231711
rev_0.05_rar_0.15,0.0070853689459503735,2668666.4879002455,1988,0.13028169014084506,0.7383687743510303,0.4427343331889131,0.138966818693395,0.21717774903279974,7961,14711944.952838317,0.6016930274003118,0.5965747986843598
rar_alpha_0.05,0.011094633233711935,2668660.0810472993,1978,0.12942366026289182,0.7398216213678824,0.43995186578612766,0.1379407292403702,0.21233928988321582,7962,14698134.386122324,0.5992425930051236,0.5979358058296472
rev_0.00_rar_0.05,0.01109463323371193,2668660.0810472993,1978,0.12942366026289182,0.7398216213678824,0.43995186578612766,0.1379407292403702,0.21233928988321576,7962,14698134.386122324,0.5992425930051236,0.5979358058296472
rev_0.05_rar_0.20,0.0121247950878676,2668579.799899294,1952,0.1290983606557377,0.7374712481810074,0.4447834731744573,0.13971177199350962,0.21950288926146946,7859,14685625.63807944,0.5936734239251503,0.5890892593852785
rev_-0.05_rar_0.10,0.014445344526000057,2665550.496345915,1955,0.12941176470588237,0.7369774210205136,0.44180874118110536,0.1385468470693896,0.21421765928327716,7889,14663712.528346628,0.5936734239251503,0.5924917772484972
debt_alpha_0.05,0.010305439316635925,2665498.021499448,1982,0.1301715438950555,0.7395202553630944,0.4394937523216363,0.13777661420824946,0.211698712844359,7979,14684492.892163621,0.5994653597683226,0.599750482023364
rev_0.05_rar_0.35,0.013342766450448722,2665167.810944546,1917,0.1278038601982264,0.7342923531896915,0.45310377578241473,0.14275334131858147,0.22685934435873745,7762,14688120.11057643,0.5856538204499888,0.5821708063967336
rev_-0.10_rar_0.05,0.01500117764627208,2664756.2125531756,1965,0.1297709923664122,0.7361033657231375,0.4413988047945228,0.1383622162969571,0.2118866103836015,7929,14669024.173286684,0.5970149253731343,0.5953272088011795
rev_0.10_rar_0.35,0.00785089728728434,2664597.945699293,1941,0.12828438948995363,0.7345824531756091,0.4532415322724957,0.14285325856357478,0.2273390516249692,7852,14734951.743342483,0.59166852305636,0.589316093909493
debt_alpha_0.20,0.008489705085159574,2663247.3930371115,1988,0.13078470824949698,0.7366370933671313,0.4430279666416733,0.13897546319657894,0.21670559834720723,7941,14612673.79698413,0.5994653597683226,0.5954406260632868
rev_-0.05_rar_0.05,0.012774809222905387,2663111.2626224062,1976,0.13006072874493926,0.7376439938036897,0.44050601719523513,0.13809695074147946,0.21204373436303617,7946,14678216.007213973,0.5976832256627311,0.5969150504706816
rar_alpha_0.35,0.014516482699197041,2661543.522641661,1907,0.12690089145254327,0.7334685255597804,0.4532991275961094,0.1427609281914047,0.226488725802482,7745,14668339.554449558,0.5823123190020049,0.581943971872519
rev_0.00_rar_0.35,0.014516482699197041,2661543.522641661,1907,0.12690089145254327,0.7334685255597804,0.4532991275961094,0.1427609281914047,0.226488725802482,7745,14668339.554449558,0.5823123190020049,0.581943971872519
score_alpha_0.05,0.009148609469895933,2661357.4605319845,1981,0.13023725391216556,0.7423499037694221,0.4393061274325203,0.13778283523311047,0.21250338958821388,7978,14671729.887694221,0.5996881265315215,0.5995236474991493
score_alpha_0.10,0.00969767059090067,2660351.27689617,1975,0.1291139240506329,0.74206543679294,0.4399447711683364,0.13807040002542187,0.21482566874726836,7940,14630850.841316665,0.5976832256627311,0.5962345468980379
amount_alpha_-0.10,0.01722573116662081,2659517.9974611565,1963,0.1293937850229241,0.7324512979392573,0.44070858803384355,0.13792230275856704,0.20833028674440748,7949,14835787.179647857,0.5987970594787257,0.596688215946467
rev_0.15_rar_0.30,0.010619558851860271,2659392.977146906,1937,0.12854930304594733,0.7354978172088439,0.4505879001588623,0.14191293695503002,0.2254528328447633,7818,14722078.586932667,0.5907774560035642,0.5859135760462743
amount_alpha_-0.20,0.01948580232198282,2659386.240202089,1958,0.1302349336057201,0.7241754682439093,0.44371745927383205,0.138665777520489,0.20699545390691024,7951,14982691.128672756,0.5992425930051236,0.596688215946467
rev_-0.10_rar_0.20,0.0023298033355485413,2658158.430393994,2013,0.13214108296075508,0.7337825658357977,0.44639497441796216,0.14011161764380856,0.21866779934283426,8034,14700561.307565302,0.6059255959010915,0.6026993308381535
rev_-0.05_rar_0.25,0.01420010678513092,2656908.3338596066,1929,0.128564022809746,0.7343486832840445,0.4479296748527395,0.1407386710553931,0.22123208719992582,7805,14655678.791175138,0.5867676542659835,0.5864806623568107
rev_-0.10_rar_0.10,0.015188611023285503,2655798.6540586622,1955,0.129923273657289,0.735393606534291,0.4426943538739694,0.13880438159427974,0.2140615260668638,7884,14649042.656462425,0.5932278903987525,0.5921515254621753
active_pd_exact_threshold,0.012262275197754729,2654900.6567144124,1976,0.13006072874493926,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913037,7975,14706977.162446218,0.5990198262419247,0.5995236474991493
rev_alpha_0.00,0.012262275197754729,2654900.6567144124,1976,0.13006072874493926,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913032,7975,14706977.16244622,0.5990198262419247,0.5995236474991493
rar_alpha_0.00,0.012262275197754729,2654900.6567144124,1976,0.13006072874493926,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913032,7975,14706977.16244622,0.5990198262419247,0.5995236474991493
amount_alpha_0.00,0.012262275197754729,2654900.6567144124,1976,0.13006072874493926,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913032,7975,14706977.16244622,0.5990198262419247,0.5995236474991493
debt_alpha_0.00,0.012262275197754729,2654900.6567144124,1976,0.13006072874493926,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913032,7975,14706977.16244622,0.5990198262419247,0.5995236474991493
score_alpha_0.00,0.012262275197754729,2654900.6567144124,1976,0.13006072874493926,0.7404036990095291,0.43901518444875326,0.13762517102949567,0.21026723178913032,7975,14706977.16244622,0.5990198262419247,0.5995236474991493
