auroc,average_precision,log_loss,brier,model,score_type,rows,default_rate,ece_10bin,weights
0.7563422992066845,0.512766110486874,0.4310525858170961,0.13566809544900107,logistic,raw,,,,
0.7559930526216965,0.515103491387746,0.4301297994068046,0.1351104380370566,raw_score_blend,raw,,,,"{""sklearn_hgb"": 0.1, ""logistic"": 0.7000000000000001, ""lightgbm"": 0.1, ""catboost"": 0.09999999999999995}"
0.7556912171994555,0.4934266591292927,0.43283160106994323,0.1363245941486319,logistic,isotonic,2551.0,0.2061936495491964,0.027922296899871562,
0.7547505046237619,0.5010262841651039,0.4321798009352094,0.13596823382541914,raw_score_blend,isotonic,2551.0,0.2061936495491964,0.026176655598150717,"{""sklearn_hgb"": 0.1, ""logistic"": 0.7000000000000001, ""lightgbm"": 0.1, ""catboost"": 0.09999999999999995}"
0.750619161620429,0.5083121408593017,0.43336961560348314,0.13600708914592327,sklearn_hgb,raw,,,,
0.7492240529502887,0.49342218800089976,0.43449038697249676,0.13649723468391453,sklearn_hgb,isotonic,2551.0,0.2061936495491964,0.025858654992222122,
0.7480167112613247,0.5017720973243115,0.43497293995108555,0.13630679036450907,catboost,raw,,,,
0.7479200112660188,0.4801007359488874,0.43801462898597693,0.13692871975102722,catboost,isotonic,2551.0,0.2061936495491964,0.026872686673877537,
0.741612918368305,0.5051249344313045,0.43816670135873365,0.1368420255776132,lightgbm,raw,,,,
0.7399877951462235,0.48755268622808284,0.4396944599478456,0.1377951490680537,lightgbm,isotonic,2551.0,0.2061936495491964,0.03038875088578487,
