grouping,segment,rows,default_rate,mean_predicted_pd,mean_lower_90,mean_upper_90,bin_interval_hit,mean_interval_width
pd_decile,0,338,0.06804733727810651,0.06278983722889554,0.0,0.14278983722889557,True,0.14278983722889557
pd_decile,1,516,0.09496124031007752,0.08204422662877425,0.004812942366026266,0.16204422662877427,True,0.15723128426274796
pd_decile,2,260,0.11923076923076924,0.09701967321699073,0.017019673216990713,0.17701967321699072,True,0.16000000000000003
pd_decile,3,181,0.18232044198895028,0.11538017525565546,0.03538017525565548,0.19538017525565543,True,0.15999999999999998
pd_decile,4,271,0.14022140221402213,0.15566724348093913,0.07566724348093916,0.2356672434809391,True,0.15999999999999998
pd_decile,5,243,0.20987654320987653,0.21264415700543704,0.132644157005437,0.292644157005437,True,0.16000000000000003
pd_decile,6,336,0.25595238095238093,0.3008513651590605,0.2208513651590606,0.3808513651590606,True,0.16
pd_decile,7,156,0.38461538461538464,0.45818774486948216,0.37818774486948203,0.5381877448694821,True,0.16
pd_decile,8,250,0.62,0.6412131823353072,0.5612131823353073,0.7185400394781644,True,0.15732685714285713
prior_decision,1,2551,0.2061936495491964,0.21026723178913037,0.13310756590792897,0.2900052616933696,True,0.1568976957854406
has_linked_bank_feed,False,855,0.20701754385964913,0.2129895780357498,0.13522912115877855,0.2929895780357498,True,0.15776045687697124
has_linked_bank_feed,True,1696,0.20577830188679244,0.20889482256692538,0.1320380318634264,0.2885007861787852,True,0.15646275431535883
amount_quintile,0,511,0.11350293542074363,0.12395174527329175,0.04743722238703875,0.20379714644746003,True,0.1563599240604213
amount_quintile,1,510,0.12156862745098039,0.1630402343952608,0.08589144553983001,0.2428853324344765,True,0.15699388689464647
amount_quintile,2,510,0.21568627450980393,0.18961468398283804,0.11272950926729788,0.26961468398283805,True,0.15688517471554014
amount_quintile,3,510,0.2647058823529412,0.23594311665580722,0.15861918246530202,0.3159431166558072,True,0.15732393419050525
amount_quintile,4,510,0.3156862745098039,0.3389556246904457,0.26102845094590343,0.4179550644663561,True,0.15692661352045267
sector,0,718,0.20334261838440112,0.2259876598425386,0.14878402828826784,0.30552227981866276,True,0.15673825153039492
sector,1,625,0.2432,0.22639044703588115,0.14887960908677633,0.30613764703588114,True,0.1572580379491048
sector,2,511,0.2172211350293542,0.2206039413100714,0.14300763715094697,0.30041383787143566,True,0.15740620072048866
sector,3,460,0.14347826086956522,0.15151589422922104,0.0756007629476123,0.231515894229221,True,0.15591513128160872
sector,4,237,0.21518987341772153,0.21186756867010514,0.13429307637502008,0.2915342353367718,True,0.15724115896175173
