bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1948,0.001,0.06203007518796991,0.054464065708418864,0.054414784394250515,0.008470308709947236,4.92813141683493e-05,0.008519590024115585
1,1414,0.0785007072135785,0.0785007072135785,0.0785007072135785,0.0785007072135785,0.011781154494870523,0.0,0.011781154494870523
2,1298,0.10179640718562874,0.11497326203208556,0.11325115562403698,0.11325115562403698,0.014475417346985223,0.0,0.014475417346985223
3,806,0.12530120481927712,0.13554987212276218,0.13027295285359802,0.13027295285359802,0.019508567586307812,0.0,0.019508567586307812
4,913,0.14285714285714285,0.19808306709265175,0.17634173055859803,0.17634173055859803,0.02073779848289292,0.0,0.02073779848289292
5,1078,0.20202020202020202,0.2556818181818182,0.23654916512059368,0.23654916512059368,0.021273240132280782,0.0,0.021273240132280782
6,849,0.2560975609756097,0.3291139240506329,0.30624263839811544,0.30624263839811544,0.02598609400660683,0.0,0.02598609400660683
7,1016,0.373134328358209,0.4563106796116505,0.4045275590551182,0.4045275590551181,0.02529470587825361,1.1102230246251565e-16,0.02529470587825372
8,1023,0.5515463917525774,0.999,0.6568582600195503,0.656891495601173,0.024386024858439662,3.323558162271478e-05,0.024419260440062377
